iter	Passed	Remaining
0	5	5013
1	10	5219
2	15	5032
3	19	4953
4	25	5028
5	29	4956
6	34	4916
7	39	4956
8	44	4914
9	49	4877
10	54	4869
11	58	4814
12	62	4759
13	66	4702
14	71	4697
15	75	4665
16	79	4618
17	84	4586
18	88	4586
19	93	4565
20	97	4533
21	101	4496
22	105	4494
23	109	4470
24	114	4461
25	118	4437
26	122	4424
27	126	4408
28	131	4386
29	135	4379
30	139	4361
31	145	4397
32	149	4375
33	154	4379
34	159	4389
35	163	4378
36	168	4375
37	173	4389
38	177	4370
39	181	4353
40	186	4356
41	190	4344
42	194	4328
43	198	4312
44	203	4321
45	207	4304
46	211	4278
47	215	4281
48	220	4273
49	224	4259
50	228	4247
51	233	4248
52	236	4233
53	240	4220
54	245	4217
55	250	4217
56	254	4203
57	257	4188
58	261	4175
59	266	4172
60	270	4158
61	274	4150
62	278	4138
63	282	4136
64	287	4134
65	291	4121
66	295	4113
67	299	4109
68	304	4106
69	308	4104
70	313	4107
71	320	4124
72	324	4116
73	328	4110
74	332	4102
75	336	4093
76	340	4083
77	345	4079
78	349	4070
79	353	4060
80	357	4050
81	361	4050
82	365	4040
83	369	4030
84	373	4021
85	379	4037
86	387	4070
87	395	4095
88	399	4084
89	403	4077
90	407	4065
91	411	4059
92	415	4049
93	419	4039
94	422	4028
95	427	4024
96	431	4017
97	435	4008
98	440	4004
99	444	3997
100	448	3996
101	452	3987
102	457	3982
103	461	3975
104	465	3966
105	469	3958
106	473	3955
107	477	3947
108	482	3940
109	485	3931
110	490	3929
111	494	3922
112	498	3914
113	502	3905
114	507	3904
115	511	3898
116	515	3891
117	519	3883
118	523	3878
119	527	3870
120	531	3863
121	536	3860
122	540	3854
123	544	3848
124	548	3841
125	553	3838
126	557	3830
127	561	3825
128	565	3818
129	570	3816
130	574	3809
131	579	3807
132	583	3801
133	587	3796
134	591	3791
135	595	3784
136	599	3776
137	604	3773
138	608	3769
139	612	3762
140	616	3757
141	620	3752
142	625	3746
143	629	3740
144	633	3736
145	637	3730
146	641	3723
147	645	3716
148	650	3713
149	654	3707
150	658	3699
151	661	3693
152	666	3689
153	670	3682
154	674	3676
155	678	3668
156	683	3667
157	687	3661
158	691	3655
159	695	3652
160	700	3650
161	704	3643
162	708	3637
163	712	3631
164	716	3626
165	720	3619
166	724	3614
167	728	3608
168	732	3603
169	737	3600
170	741	3594
171	745	3589
172	749	3583
173	753	3578
174	757	3573
175	762	3569
176	766	3563
177	770	3558
178	774	3552
179	778	3548
180	782	3542
181	786	3535
182	790	3529
183	795	3528
184	799	3524
185	803	3517
186	807	3511
187	813	3514
188	818	3513
189	823	3510
190	829	3511
191	833	3506
192	837	3500
193	841	3494
194	845	3489
195	849	3482
196	853	3478
197	857	3474
198	861	3468
199	865	3462
200	869	3456
201	873	3450
202	877	3445
203	881	3438
204	885	3433
205	891	3437
206	895	3431
207	900	3427
208	903	3420
209	908	3417
210	912	3412
211	916	3408
212	920	3402
213	925	3398
214	929	3393
215	933	3388
216	938	3385
217	942	3381
218	946	3376
219	951	3372
220	956	3371
221	960	3366
222	965	3363
223	970	3361
224	974	3357
225	978	3351
226	982	3345
227	987	3342
228	991	3336
229	994	3330
230	999	3325
231	1003	3322
232	1007	3317
233	1011	3311
234	1016	3307
235	1020	3303
236	1024	3297
237	1028	3293
238	1032	3288
239	1037	3285
240	1041	3281
241	1046	3276
242	1051	3275
243	1055	3269
244	1059	3264
245	1063	3258
246	1067	3255
247	1072	3251
248	1076	3246
249	1080	3241
250	1085	3238
251	1089	3233
252	1093	3227
253	1097	3222
254	1102	3219
255	1106	3214
256	1109	3208
257	1116	3210
258	1121	3207
259	1125	3203
260	1130	3201
261	1135	3197
262	1139	3193
263	1144	3190
264	1149	3187
265	1153	3183
266	1158	3181
267	1166	3185
268	1171	3182
269	1179	3189
270	1185	3188
271	1191	3189
272	1198	3190
273	1203	3189
274	1208	3187
275	1215	3188
276	1220	3185
277	1227	3186
278	1232	3184
279	1237	3181
280	1244	3183
281	1249	3182
282	1255	3180
283	1260	3177
284	1265	3175
285	1270	3171
286	1274	3167
287	1279	3163
288	1284	3159
289	1290	3159
290	1297	3160
291	1303	3160
292	1309	3160
293	1315	3158
294	1322	3161
295	1328	3160
296	1338	3167
297	1344	3167
298	1350	3165
299	1355	3161
300	1362	3163
301	1368	3162
302	1374	3160
303	1381	3163
304	1389	3166
305	1395	3164
306	1400	3161
307	1407	3162
308	1413	3159
309	1417	3155
310	1424	3154
311	1428	3150
312	1433	3146
313	1439	3145
314	1445	3142
315	1449	3137
316	1457	3139
317	1463	3138
318	1471	3140
319	1477	3139
320	1484	3139
321	1489	3135
322	1493	3130
323	1497	3124
324	1501	3119
325	1506	3114
326	1510	3108
327	1514	3102
328	1518	3097
329	1523	3092
330	1527	3086
331	1531	3080
332	1535	3074
333	1539	3069
334	1543	3064
335	1547	3058
336	1552	3054
337	1556	3048
338	1560	3042
339	1564	3036
340	1569	3033
341	1573	3027
342	1577	3021
343	1582	3017
344	1586	3012
345	1590	3006
346	1595	3001
347	1599	2996
348	1604	2992
349	1608	2986
350	1612	2982
351	1618	2978
352	1622	2973
353	1627	2969
354	1631	2963
355	1635	2957
356	1639	2952
357	1643	2947
358	1648	2942
359	1652	2937
360	1656	2931
361	1660	2925
362	1664	2921
363	1669	2916
364	1673	2911
365	1677	2906
366	1681	2901
367	1686	2895
368	1690	2890
369	1694	2884
370	1698	2879
371	1702	2873
372	1706	2868
373	1711	2864
374	1715	2858
375	1719	2853
376	1723	2847
377	1728	2844
378	1733	2839
379	1737	2834
380	1741	2829
381	1745	2824
382	1749	2818
383	1753	2813
384	1758	2808
385	1762	2803
386	1766	2797
387	1770	2792
388	1774	2787
389	1779	2782
390	1783	2777
391	1788	2773
392	1792	2769
393	1797	2764
394	1802	2760
395	1806	2754
396	1810	2750
397	1814	2745
398	1819	2740
399	1824	2736
400	1830	2734
401	1834	2728
402	1839	2725
403	1844	2721
404	1849	2716
405	1853	2712
406	1859	2709
407	1864	2704
408	1868	2699
409	1873	2696
410	1877	2690
411	1882	2686
412	1888	2683
413	1892	2678
414	1896	2673
415	1900	2668
416	1905	2664
417	1909	2659
418	1914	2654
419	1921	2654
420	1926	2649
421	1930	2644
422	1936	2642
423	1941	2637
424	1945	2632
425	1950	2627
426	1954	2623
427	1959	2619
428	1965	2615
429	1970	2612
430	1975	2607
431	1979	2602
432	1984	2598
433	1988	2593
434	1992	2588
435	1997	2583
436	2002	2579
437	2006	2574
438	2010	2569
439	2015	2565
440	2020	2560
441	2024	2555
442	2028	2550
443	2033	2546
444	2038	2542
445	2043	2537
446	2048	2534
447	2053	2529
448	2057	2524
449	2061	2520
450	2066	2516
451	2071	2511
452	2075	2506
453	2080	2501
454	2084	2497
455	2089	2492
456	2093	2487
457	2098	2483
458	2103	2479
459	2107	2474
460	2112	2470
461	2117	2465
462	2121	2460
463	2126	2456
464	2132	2453
465	2136	2448
466	2141	2443
467	2146	2439
468	2151	2436
469	2156	2431
470	2161	2427
471	2165	2422
472	2170	2418
473	2174	2413
474	2180	2409
475	2184	2404
476	2189	2400
477	2194	2396
478	2198	2391
479	2203	2386
480	2208	2382
481	2213	2378
482	2217	2373
483	2222	2369
484	2228	2366
485	2233	2362
486	2238	2357
487	2243	2353
488	2247	2348
489	2251	2343
490	2256	2339
491	2261	2335
492	2266	2330
493	2270	2325
494	2275	2321
495	2280	2317
496	2284	2312
497	2289	2307
498	2294	2303
499	2299	2299
500	2303	2294
501	2309	2290
502	2313	2286
503	2317	2281
504	2322	2276
505	2327	2272
506	2331	2267
507	2335	2261
508	2342	2259
509	2347	2255
510	2351	2250
511	2359	2248
512	2365	2245
513	2374	2245
514	2379	2240
515	2383	2235
516	2388	2231
517	2393	2226
518	2397	2222
519	2402	2217
520	2406	2212
521	2411	2208
522	2415	2203
523	2421	2199
524	2425	2194
525	2430	2190
526	2436	2186
527	2440	2182
528	2445	2176
529	2449	2172
530	2454	2168
531	2459	2163
532	2463	2158
533	2468	2154
534	2472	2149
535	2477	2144
536	2482	2140
537	2486	2135
538	2491	2130
539	2495	2125
540	2500	2121
541	2504	2116
542	2509	2112
543	2514	2107
544	2518	2102
545	2522	2097
546	2527	2093
547	2532	2089
548	2537	2084
549	2542	2079
550	2547	2075
551	2551	2070
552	2556	2066
553	2560	2061
554	2565	2057
555	2570	2052
556	2574	2047
557	2579	2043
558	2584	2038
559	2589	2034
560	2593	2029
561	2598	2025
562	2602	2020
563	2607	2015
564	2612	2011
565	2617	2006
566	2621	2001
567	2625	1996
568	2631	1992
569	2635	1988
570	2639	1983
571	2645	1979
572	2649	1974
573	2654	1969
574	2660	1966
575	2664	1961
576	2668	1956
577	2673	1952
578	2679	1948
579	2683	1943
580	2688	1939
581	2693	1934
582	2697	1929
583	2702	1925
584	2707	1921
585	2712	1916
586	2717	1911
587	2721	1906
588	2725	1902
589	2730	1897
590	2734	1892
591	2739	1887
592	2743	1883
593	2748	1878
594	2753	1873
595	2758	1869
596	2762	1864
597	2766	1859
598	2772	1855
599	2778	1852
600	2782	1847
601	2787	1842
602	2791	1837
603	2795	1832
604	2799	1827
605	2803	1823
606	2808	1818
607	2812	1813
608	2816	1808
609	2821	1803
610	2825	1798
611	2829	1793
612	2833	1788
613	2837	1784
614	2842	1779
615	2846	1774
616	2851	1770
617	2855	1765
618	2859	1760
619	2864	1755
620	2870	1751
621	2874	1746
622	2878	1742
623	2883	1737
624	2887	1732
625	2891	1727
626	2895	1722
627	2900	1718
628	2904	1713
629	2909	1708
630	2913	1703
631	2918	1699
632	2922	1694
633	2927	1689
634	2933	1686
635	2938	1681
636	2942	1676
637	2948	1672
638	2953	1668
639	2957	1663
640	2961	1658
641	2966	1654
642	2970	1649
643	2974	1644
644	2978	1639
645	2983	1634
646	2987	1629
647	2991	1624
648	2996	1620
649	3000	1615
650	3004	1610
651	3008	1605
652	3013	1601
653	3017	1596
654	3022	1591
655	3026	1587
656	3030	1582
657	3035	1577
658	3039	1572
659	3043	1567
660	3048	1563
661	3052	1558
662	3056	1553
663	3061	1549
664	3066	1544
665	3070	1539
666	3074	1534
667	3079	1530
668	3083	1525
669	3087	1520
670	3091	1515
671	3096	1511
672	3100	1506
673	3104	1501
674	3109	1497
675	3113	1492
676	3117	1487
677	3121	1482
678	3126	1478
679	3130	1473
680	3134	1468
681	3140	1464
682	3144	1459
683	3149	1454
684	3153	1450
685	3158	1445
686	3162	1440
687	3166	1436
688	3171	1431
689	3176	1426
690	3180	1422
691	3184	1417
692	3189	1412
693	3193	1408
694	3197	1403
695	3201	1398
696	3206	1393
697	3211	1389
698	3214	1384
699	3219	1379
700	3223	1375
701	3227	1370
702	3231	1365
703	3236	1360
704	3240	1356
705	3244	1351
706	3248	1346
707	3253	1341
708	3257	1337
709	3261	1332
710	3265	1327
711	3271	1323
712	3275	1318
713	3279	1313
714	3284	1309
715	3289	1304
716	3293	1299
717	3297	1295
718	3302	1290
719	3306	1285
720	3310	1281
721	3315	1276
722	3319	1271
723	3324	1267
724	3329	1262
725	3333	1258
726	3337	1253
727	3342	1248
728	3349	1245
729	3356	1241
730	3360	1236
731	3365	1232
732	3369	1227
733	3374	1222
734	3379	1218
735	3384	1213
736	3388	1209
737	3392	1204
738	3396	1199
739	3400	1194
740	3404	1190
741	3409	1185
742	3414	1180
743	3418	1176
744	3422	1171
745	3428	1167
746	3432	1162
747	3436	1157
748	3440	1152
749	3445	1148
750	3449	1143
751	3453	1138
752	3458	1134
753	3462	1129
754	3466	1124
755	3470	1120
756	3475	1115
757	3479	1111
758	3484	1106
759	3488	1101
760	3493	1097
761	3497	1092
762	3501	1087
763	3506	1083
764	3510	1078
765	3514	1073
766	3518	1068
767	3523	1064
768	3527	1059
769	3531	1054
770	3535	1050
771	3540	1045
772	3544	1040
773	3548	1036
774	3552	1031
775	3557	1026
776	3561	1022
777	3566	1017
778	3570	1012
779	3574	1008
780	3578	1003
781	3582	998
782	3587	994
783	3591	989
